ProjectID,Budget,Location,TowerType,SubstationType,Terrain,Tax,Steel,Cement,Insulators
1,10,Tamil Nadu,400kV,GIS,Coastal,18,120,80,200
2,8,Rajasthan,220kV,AIS,Plain,18,80,60,150
3,12,Maharashtra,400kV,GIS,Plain,18,130,95,210
4,6,Karnataka,132kV,AIS,Hilly,12,60,40,120
5,15,Gujarat,400kV,GIS,Plain,18,150,110,260
6,9,Odisha,220kV,AIS,Coastal,18,90,70,180
7,11,Telangana,400kV,AIS,Plain,18,115,90,205
8,13,Kerala,132kV,GIS,Mountain,12,105,85,190
9,10,Madhya Pradesh,220kV,AIS,Plain,18,100,75,195
10,14,Delhi,400kV,GIS,Plain,18,140,100,240